,,,,,,,,,,,,,,
,ID вехи,ID работы,Название работы,Зависимости от входящих работ (список ID через пробел),ID Функционального подразделения (кто именно делает работу),Планируемая дата начала,Длительность по плану работ (дни),Длительность минимальная (дни),Фактическая дата старта (если пусто - то не начат),Фактическая дата окончания (если пусто - то не окончен),Стоимость сдвига на день раньше (тыс.руб.),Стоимость сдвига на день позже  (тыс.руб.),Стоимость уменьшения длительности до минимальной  (тыс.руб.),Вероятность завершения работы в срок
,number,number,text,text,number,date,number,number,date,date,number,number,number,
,MileID,TaskID,Name,TaskDepID,FuncID,PlanDateStart,PlanDuration,MinDuration,FactDateStart,FactDateFinish,CostMinusMove,CostPlusMove,CostDurationMin,
,,,,,,,,,,,,,,
,1,1,пилим,,1,03.11.2019,2,1,03.11.2019,04.11.2019,369,155,24,
,1,2,варим,1,1,12.11.2019,5,3,12.11.2019,18.11.2019,233,86,40,
,1,3,жарим,,1,21.11.2019,7,5,23.11.2019,30.11.2019,171,290,74,
,1,4,шпарим,1 2,2,30.11.2019,10,6,28.11.2019,09.12.2019,235,233,86,
,1,5,колем,,2,09.12.2019,2,1,09.12.2019,11.12.2019,270,288,25,
,1,6,режем,,3,18.12.2019,5,3,19.12.2019,24.12.2019,482,125,65,
,1,7,вяжем,,3,27.12.2019,7,5,28.12.2019,03.01.2020,380,252,45,
,1,8,прядём,,1,05.01.2020,10,6,06.01.2020,16.01.2020,207,81,60,
,1,9,копаем,4 5,1,14.01.2020,2,1,14.01.2020,17.01.2020,75,320,20,
,1,10,щупаем,,1,23.01.2020,5,3,21.01.2020,25.01.2020,31,431,54,
,1,11,барабаним,,2,01.02.2020,7,5,30.01.2020,06.02.2020,469,370,96,
,1,12,кодим,2,3,10.02.2020,10,6,10.02.2020,20.02.2020,429,12,40,
,1,13,пилим,5,2,19.02.2020,2,1,17.02.2020,18.02.2020,357,88,21,
,1,14,рисуем,,1,28.02.2020,5,3,27.02.2020,04.03.2020,413,245,59,
,1,15,ворчим,1 2 8 4,2,08.03.2020,7,5,06.03.2020,13.03.2020,93,326,28,
,1,16,трещим,10 4,3,17.03.2020,10,6,16.03.2020,26.03.2020,76,200,77,
,1,17,сопим,,4,26.03.2020,2,1,28.03.2020,30.03.2020,410,318,83,
,1,18,мурчим,8,5,04.04.2020,5,3,04.04.2020,09.04.2020,311,255,91,
,1,19,бурчим,7 10,4,13.04.2020,7,5,14.04.2020,21.04.2020,73,323,21,
,1,20,кряхтим,,4,22.04.2020,10,6,22.04.2020,01.05.2020,38,392,6,
,1,21,щупаем пилим,21 12,5,01.05.2020,2,1,29.04.2020,01.05.2020,194,427,50,
,1,22,барабаним варим,22 23,5,10.05.2020,5,3,11.05.2020,15.05.2020,357,236,68,
,1,23,кодим жарим,2,6,19.05.2020,7,5,17.05.2020,24.05.2020,395,308,90,
,1,24,пилим шпарим,14,6,28.05.2020,10,6,29.05.2020,09.06.2020,160,125,10,
,1,25,рисуем колем,6,7,06.06.2020,2,1,08.06.2020,11.06.2020,274,372,73,
,1,26,ворчим режем,6,7,15.06.2020,5,3,13.06.2020,17.06.2020,373,50,54,
,1,27,трещим вяжем,7 26,5,24.06.2020,7,5,24.06.2020,02.07.2020,480,233,69,
,1,28,сопим прядём,28 29,6,03.07.2020,10,6,04.07.2020,13.07.2020,417,270,17,
,1,29,мурчим копаем,19,4,12.07.2020,2,1,13.07.2020,15.07.2020,31,482,31,
,1,30,бурчим щупаем,10,2,21.07.2020,5,3,23.07.2020,28.07.2020,95,56,11,
,1,31,кряхтим барабаним,21,6,30.07.2020,7,5,31.07.2020,06.08.2020,304,499,38,
,1,32,пилим барабаним,21 23,3,08.08.2020,10,6,07.08.2020,18.08.2020,448,131,87,
,1,33,варим кодим,23,2,17.08.2020,2,1,17.08.2020,20.08.2020,173,305,26,
,1,34,жарим пилим,24 35,1,26.08.2020,5,3,26.08.2020,01.09.2020,192,450,5,
,1,35,шпарим рисуем,15,4,04.09.2020,7,5,05.09.2020,11.09.2020,114,163,32,
,1,36,колем ворчим,36 27,5,13.09.2020,10,6,15.09.2020,25.09.2020,441,239,88,
,1,37,режем трещим,27,6,22.09.2020,2,1,22.09.2020,24.09.2020,201,62,20,
,1,38,вяжем сопим,8,3,01.10.2020,5,3,30.09.2020,06.10.2020,442,69,63,
,1,39,прядём мурчим,20 18,5,10.10.2020,7,5,09.10.2020,16.10.2020,459,158,55,
,1,40,копаем бурчим,20,4,19.10.2020,10,6,21.10.2020,30.10.2020,282,237,11,
,1,41,щупаем кряхтим,32,7,28.10.2020,2,1,26.10.2020,27.10.2020,17,163,8,
,1,42,пилим варим,22 31,7,06.11.2020,5,3,07.11.2020,12.11.2020,302,316,31,
,1,43,варим жарим,33 34,4,15.11.2020,7,5,14.11.2020,22.11.2020,12,25,4,
,1,44,жарим шпарим,34,1,24.11.2020,10,6,22.11.2020,01.12.2020,111,330,14,
,1,45,шпарим колем,25,1,03.12.2020,2,1,04.12.2020,06.12.2020,156,331,31,
,1,46,колем режем,46 57,1,12.12.2020,5,3,10.12.2020,15.12.2020,385,344,42,
,1,47,режем вяжем,27,2,21.12.2020,7,5,20.12.2020,28.12.2020,25,152,55,
,1,48,вяжем прядём,29 59,2,30.12.2020,10,6,29.12.2020,,451,277,93,
,1,49,прядём копаем,39,2,08.01.2021,2,1,09.01.2021,,95,90,65,
,1,50,копаем щупаем,40,3,17.01.2021,5,3,19.01.2021,,460,468,16,
,1,51,щупаем барабаним,41,3,26.01.2021,7,5,26.01.2021,,404,422,19,
,1,52,барабаним кодим,31,3,04.02.2021,10,6,02.02.2021,,271,137,69,
,1,53,кодим пилим,33,4,13.02.2021,2,1,15.02.2021,,406,472,52,
,1,54,пилим рисуем,34 23,5,22.02.2021,5,3,22.02.2021,,441,106,93,
,1,55,рисуем ворчим,35 26,2,03.03.2021,7,5,02.03.2021,,327,331,4,
,1,56,ворчим трещим,26,1,12.03.2021,10,6,14.03.2021,,278,391,28,
,1,57,трещим сопим,47,3,21.03.2021,2,1,22.03.2021,,437,253,37,
,1,58,сопим мурчим,38,6,30.03.2021,5,3,30.03.2021,,122,20,1,
,1,59,мурчим бурчим,48 39,5,08.04.2021,7,5,06.04.2021,,68,441,20,
,1,60,бурчим кряхтим,40,6,17.04.2021,10,6,19.04.2021,,337,77,27,
,1,61,варим пилим,41 51,6,26.04.2021,2,1,27.04.2021,,472,164,48,
,1,62,жарим варим,43,6,05.05.2021,5,3,04.05.2021,,441,201,46,
,1,63,шпарим жарим,54,2,14.05.2021,7,5,13.05.2021,,285,404,79,
,1,64,колем шпарим,45 53,5,23.05.2021,10,6,21.05.2021,,368,348,84,
